ADJ	adjective
ADV	adverb
CARD	numeral
CJ	conjunction
CL	pronoun 
CN	noun
DA	determiner
DEM	determiner
DFR	numeral
DGT	numeral
DGTR	numeral
DL	interjection
DL1	interjection
DL2	interjection
DL3	interjection
DM	interjection
EADR	electronic
EL	interjection
EMP	interjection
EOE	punctuation
EXC	interjection
GERAUX	verb
GER	verb
IA	determiner
IND	pronoun
INFAUX	verb
INF	verb
INT	pronoun
ITJ	interjection
LADV	adverb
LADV1	adverb
LADV2	adverb
LADV3	adverb
LADV4	adverb
LADV5	adverb
LADV6	adverb
LADV7	adverb
LCJ	conjunction
LCJ1	conjunction
LCJ2	conjunction
LCJ3	conjunction
LCJ4	conjunction
LCJ5	conjunction
LCN1	noun
LCN2	noun
LDEM	determiner
LDEM1	determiner
LDEM2	determiner
LDFR	numeral
LDFR1	numeral
LDFR2	numeral
LD	interjection
LD1	interjection
LD2	interjection
LD3	interjection
LDM	interjection
LDM1	interjection
LDM2	interjection
LITJ	interjection
LITJ1	interjection
LITJ2	interjection
LITJ3	interjection
LPREP	preposition
LPREP1	preposition
LPREP2	preposition
LPREP3	preposition
LPREP4	preposition
LPREP5	preposition
LPREP6	preposition
LPRS	pronoun
LPRS1	pronoun
LPRS2	pronoun
LPRS3	pronoun
LQD	determiner
LQD1	determiner
LQD2	determiner
LREL	pronoun
LREL1	pronoun
LREL2	pronoun
LTR	punctuation
MGT	noun
MTH	noun
NP	pronoun
ORD	numeral
PADR	noun
PL	interjection
PNM	noun
PNT	punctuation
PPA	verb_past
PP	preposition
PPT	verb_past
PREP	preposition
PRS	pronoun
POSS	determiner
QNT	determiner
REL	pronoun
STT	noun
SYB	symbol
SC	noun
TT	noun
TERMN	symbol
UM	determiner
UNIT	symbol
VAUX	verb
V	verb
WD	noun
